Time (UTC),Open,High,Low,Close,Volume 
2010.01.01 02:00:00,1.43295,1.43317,1.43188,1.43311,11173.4
2010.01.01 06:00:00,1.43293,1.43353,1.43226,1.43331,17589.5
2010.01.01 10:00:00,1.43328,1.4336,1.43213,1.43341,15935.2
2010.01.01 14:00:00,1.43285,1.43368,1.43235,1.43296,16464.4
2010.01.01 18:00:00,1.43297,1.43366,1.43251,1.43345,13936.7
2010.01.03 22:00:00,1.43032,1.4337,1.42571,1.42701,6082.9
2010.01.04 02:00:00,1.42722,1.43124,1.42684,1.43001,13722.8
2010.01.04 06:00:00,1.43033,1.43947,1.42674,1.43927,16383.2
2010.01.04 10:00:00,1.43942,1.44334,1.43707,1.44211,16281.3
2010.01.04 14:00:00,1.44222,1.4456,1.44013,1.44152,17514.3
2010.01.04 18:00:00,1.44135,1.44289,1.44015,1.44136,11091.5
2010.01.04 22:00:00,1.44138,1.44403,1.44043,1.44196,7520.2
2010.01.05 02:00:00,1.44175,1.44741,1.44044,1.44628,14074
2010.01.05 06:00:00,1.44635,1.44846,1.44036,1.44309,16526.3
2010.01.05 10:00:00,1.44313,1.44554,1.43981,1.44265,16428
2010.01.05 14:00:00,1.44236,1.4434,1.43817,1.43911,17290.5
2010.01.05 18:00:00,1.4391,1.43934,1.43455,1.43655,11094.2
2010.01.05 22:00:00,1.4365,1.43715,1.43335,1.43684,7276.6
2010.01.06 02:00:00,1.4368,1.43696,1.43408,1.43549,13899.4
2010.01.06 06:00:00,1.43547,1.43831,1.42814,1.43775,16322.2
2010.01.06 10:00:00,1.43765,1.43795,1.4333,1.43583,16059.5
2010.01.06 14:00:00,1.43577,1.44165,1.43423,1.4404,17419.7
2010.01.06 18:00:00,1.44036,1.44352,1.43822,1.44078,11387.2
2010.01.06 22:00:00,1.44079,1.44439,1.43906,1.44237,7624.3
2010.01.07 02:00:00,1.44231,1.44269,1.438,1.43907,14148.3
2010.01.07 06:00:00,1.43894,1.44003,1.43501,1.43533,16655.4
2010.01.07 10:00:00,1.43534,1.43594,1.42982,1.43332,16197.1
2010.01.07 14:00:00,1.43327,1.43515,1.43028,1.43232,17433.8
2010.01.07 18:00:00,1.43228,1.43284,1.43047,1.43061,11559.2
2010.01.07 22:00:00,1.43083,1.4327,1.43,1.43115,7266.4
2010.01.08 02:00:00,1.43124,1.43206,1.42857,1.4293,13398.1
2010.01.08 06:00:00,1.4294,1.43351,1.42916,1.43225,16422
2010.01.08 10:00:00,1.4322,1.44148,1.4262,1.44022,16347
2010.01.08 14:00:00,1.44026,1.44083,1.43001,1.43937,17330
2010.01.08 18:00:00,1.43928,1.4439,1.43893,1.44099,11339.3
2010.01.10 22:00:00,1.44291,1.44949,1.44067,1.448,7489.2
2010.01.11 02:00:00,1.44794,1.45322,1.44704,1.45177,13767.5
2010.01.11 06:00:00,1.45176,1.45354,1.44779,1.45201,16529
2010.01.11 10:00:00,1.45208,1.45456,1.44983,1.45285,16317.2
2010.01.11 14:00:00,1.45312,1.45546,1.44944,1.45081,17213.8
2010.01.11 18:00:00,1.45091,1.45438,1.45058,1.45127,11726.3
2010.01.11 22:00:00,1.45128,1.45216,1.44787,1.44899,7210.6
2010.01.12 02:00:00,1.44903,1.44975,1.44519,1.44942,13687.5
2010.01.12 06:00:00,1.44952,1.45213,1.44669,1.44893,16233.6
2010.01.12 10:00:00,1.44867,1.45107,1.44611,1.44668,15843.6
2010.01.12 14:00:00,1.44686,1.45486,1.44652,1.4506,17733.9
2010.01.12 18:00:00,1.45058,1.45084,1.44811,1.44832,11257.3
2010.01.12 22:00:00,1.44852,1.44954,1.44558,1.44761,7387.3
2010.01.13 02:00:00,1.44765,1.44933,1.44618,1.44866,13730.4
2010.01.13 06:00:00,1.44864,1.45155,1.44615,1.45004,16470.8
2010.01.13 10:00:00,1.45005,1.458,1.44877,1.45723,15790.9
2010.01.13 14:00:00,1.45715,1.45728,1.44714,1.45032,17051.9
2010.01.13 18:00:00,1.4505,1.45176,1.44827,1.45098,11599.6
2010.01.13 22:00:00,1.45115,1.45383,1.44941,1.45364,7415.6
2010.01.14 02:00:00,1.45355,1.45558,1.45266,1.45517,13707.2
2010.01.14 06:00:00,1.45521,1.45548,1.45013,1.45051,16701.3
2010.01.14 10:00:00,1.45049,1.4521,1.44758,1.45085,16214
2010.01.14 14:00:00,1.45083,1.45145,1.44459,1.44903,17418.3
2010.01.14 18:00:00,1.44925,1.45192,1.44865,1.44985,11398.7
2010.01.14 22:00:00,1.45,1.45123,1.44282,1.44385,7678.4
2010.01.15 02:00:00,1.4438,1.44454,1.44045,1.44338,13506.5
2010.01.15 06:00:00,1.4434,1.44373,1.43769,1.44143,16420.9
2010.01.15 10:00:00,1.44108,1.44156,1.43574,1.4375,16214.5
2010.01.15 14:00:00,1.43753,1.43994,1.43554,1.43805,17400.3
2010.01.15 18:00:00,1.43804,1.4392,1.43357,1.43865,11346.1
2010.01.17 22:00:00,1.43556,1.43754,1.43331,1.43425,8852.4
2010.01.18 02:00:00,1.43433,1.43861,1.43388,1.43738,11871.7
2010.01.18 06:00:00,1.43737,1.43953,1.436,1.43743,17399.3
2010.01.18 10:00:00,1.43743,1.43877,1.43649,1.43761,15978.3
2010.01.18 14:00:00,1.43767,1.43998,1.43679,1.43953,16257.5
2010.01.18 18:00:00,1.43962,1.44009,1.43756,1.43825,13701.1
2010.01.18 22:00:00,1.43824,1.44131,1.43765,1.44021,7373.9
2010.01.19 02:00:00,1.44033,1.4407,1.43822,1.43901,11466.7
2010.01.19 06:00:00,1.43907,1.4413,1.43508,1.43529,17306
2010.01.19 10:00:00,1.43522,1.43531,1.42621,1.42839,16095.4
