Time (UTC),Open,High,Low,Close,Volume 
2010.01.01 02:00:00,1.617,1.61705,1.61606,1.61693,17189.3
2010.01.01 06:00:00,1.61687,1.6171,1.61597,1.61693,54678.6
2010.01.01 10:00:00,1.61693,1.617,1.61615,1.6169,48636.65
2010.01.01 14:00:00,1.61688,1.61709,1.61512,1.6162,34315.65
2010.01.01 18:00:00,1.61622,1.61703,1.61622,1.6164,4522.6
2010.01.03 22:00:00,1.61064,1.61555,1.609,1.6092,16953.89
2010.01.04 02:00:00,1.60915,1.61205,1.6073,1.60965,7653.2
2010.01.04 06:00:00,1.6096,1.6214,1.60595,1.62065,40874.32
2010.01.04 10:00:00,1.62065,1.6243,1.61395,1.6164,70919.1
2010.01.04 14:00:00,1.6164,1.61965,1.6086,1.61275,59807.49
2010.01.04 18:00:00,1.61275,1.6132,1.6087,1.6087,16092.6
2010.01.04 22:00:00,1.60875,1.61395,1.60675,1.60805,8343.9
2010.01.05 02:00:00,1.60805,1.6142,1.6072,1.61335,12159.8
2010.01.05 06:00:00,1.61335,1.6156,1.6029,1.60535,51728.14
2010.01.05 10:00:00,1.60525,1.6056,1.59895,1.6039,53974.39
2010.01.05 14:00:00,1.60385,1.6072,1.59875,1.6005,65328.32
2010.01.05 18:00:00,1.60045,1.60075,1.5967,1.59925,26930.97
2010.01.05 22:00:00,1.59925,1.60065,1.5946,1.5993,22308.6
2010.01.06 02:00:00,1.5993,1.5999,1.59565,1.59655,13137
2010.01.06 06:00:00,1.5966,1.6065,1.5952,1.60245,45485.42
2010.01.06 10:00:00,1.60245,1.6027,1.5961,1.597,45534.85
2010.01.06 14:00:00,1.597,1.60445,1.5939,1.5997,67831.18
2010.01.06 18:00:00,1.5997,1.60355,1.5975,1.602,37884.92
2010.01.06 22:00:00,1.6021,1.60605,1.60023,1.6027,7293.7
2010.01.07 02:00:00,1.6027,1.60275,1.597,1.5976,8752.5
2010.01.07 06:00:00,1.59755,1.6002,1.5913,1.59365,41355.92
2010.01.07 10:00:00,1.5936,1.5947,1.58975,1.5925,68668.1
2010.01.07 14:00:00,1.5925,1.59575,1.5906,1.59435,64246.95
2010.01.07 18:00:00,1.5944,1.59525,1.59275,1.5933,19558.1
2010.01.07 22:00:00,1.5934,1.59575,1.5923,1.59335,6638.3
2010.01.08 02:00:00,1.59325,1.59535,1.5917,1.5937,7037.08
2010.01.08 06:00:00,1.59365,1.6041,1.59295,1.60325,45362.38
2010.01.08 10:00:00,1.6033,1.6112,1.5972,1.6093,53588.59
2010.01.08 14:00:00,1.60925,1.6099,1.59575,1.6006,70966.87
2010.01.08 18:00:00,1.60065,1.60455,1.6006,1.6025,18303.47
2010.01.10 22:00:00,1.60725,1.61085,1.60511,1.6076,22720.58
2010.01.11 02:00:00,1.60765,1.61075,1.6068,1.6093,23863.2
2010.01.11 06:00:00,1.6093,1.6149,1.60705,1.6147,59844.6
2010.01.11 10:00:00,1.61475,1.61945,1.61415,1.6163,57664.44
2010.01.11 14:00:00,1.6163,1.6181,1.6118,1.6118,61087.21
2010.01.11 18:00:00,1.61175,1.61285,1.60935,1.6118,25566.13
2010.01.11 22:00:00,1.6118,1.6122,1.60775,1.60845,9919.73
2010.01.12 02:00:00,1.60845,1.6102,1.60635,1.60925,10871.5
2010.01.12 06:00:00,1.60925,1.61405,1.60645,1.61375,52871.1
2010.01.12 10:00:00,1.61375,1.6173,1.61125,1.6128,54394.6
2010.01.12 14:00:00,1.6128,1.61955,1.6117,1.6171,62044.29
2010.01.12 18:00:00,1.6171,1.6182,1.6153,1.6166,27861.8
2010.01.12 22:00:00,1.6165,1.61725,1.6137,1.6164,14136.48
2010.01.13 02:00:00,1.6164,1.6194,1.6145,1.61805,9449.2
2010.01.13 06:00:00,1.61805,1.62685,1.61765,1.62415,66554.91
2010.01.13 10:00:00,1.62415,1.62955,1.6231,1.6284,57331.21
2010.01.13 14:00:00,1.6284,1.63085,1.62475,1.62755,65259.35
2010.01.13 18:00:00,1.6276,1.6294,1.62595,1.62825,27518.03
2010.01.13 22:00:00,1.62825,1.63105,1.62645,1.62985,9070.9
2010.01.14 02:00:00,1.62985,1.6308,1.6285,1.62885,9746.8
