Time (UTC),Open,High,Low,Close,Volume 
2010.01.01 02:00:00,1.05202,1.05208,1.05166,1.05183,26866.7
2010.01.01 06:00:00,1.05154,1.05193,1.05154,1.05183,59332
2010.01.01 10:00:00,1.0518,1.05198,1.05165,1.05183,39284.6
2010.01.01 14:00:00,1.05183,1.05195,1.05173,1.05183,26010.6
2010.01.01 18:00:00,1.0518,1.05197,1.05173,1.05185,9677.8
2010.01.03 22:00:00,1.05155,1.0528,1.04655,1.04985,12926.9
2010.01.04 02:00:00,1.0499,1.04995,1.0452,1.04565,10501.8
2010.01.04 06:00:00,1.0457,1.049,1.04005,1.04025,24032.6
2010.01.04 10:00:00,1.0403,1.041,1.0373,1.04015,33648.5
2010.01.04 14:00:00,1.04015,1.04115,1.0353,1.0398,69896.9
2010.01.04 18:00:00,1.0398,1.0429,1.03965,1.04175,32727.4
2010.01.04 22:00:00,1.04175,1.04235,1.03895,1.04005,11235.4
2010.01.05 02:00:00,1.04005,1.041,1.0371,1.03805,17069.4
2010.01.05 06:00:00,1.03795,1.04125,1.0363,1.03795,29464.9
2010.01.05 10:00:00,1.038,1.0393,1.0338,1.03785,42330.89
2010.01.05 14:00:00,1.03785,1.0395,1.03585,1.0379,63428.6
2010.01.05 18:00:00,1.0379,1.04095,1.0377,1.03915,33995.18
2010.01.05 22:00:00,1.03915,1.0411,1.03715,1.03735,8341.9
2010.01.06 02:00:00,1.0374,1.03885,1.03725,1.03785,8643.15
2010.01.06 06:00:00,1.03785,1.04115,1.03718,1.03795,23672.3
2010.01.06 10:00:00,1.03795,1.0399,1.036,1.03655,33218.1
2010.01.06 14:00:00,1.0365,1.037,1.03245,1.03375,79174.3
2010.01.06 18:00:00,1.03365,1.0353,1.0315,1.0326,47784.2
2010.01.06 22:00:00,1.03265,1.03335,1.0299,1.03205,11926.7
2010.01.07 02:00:00,1.03205,1.0345,1.03175,1.0337,14168.03
2010.01.07 06:00:00,1.03365,1.036,1.0293,1.0331,33436.45
2010.01.07 10:00:00,1.0331,1.03435,1.03145,1.03165,43790.67
2010.01.07 14:00:00,1.03165,1.0375,1.0312,1.03545,82447.68
2010.01.07 18:00:00,1.03545,1.03645,1.0339,1.0348,31114.1
2010.01.07 22:00:00,1.0348,1.03505,1.03375,1.03395,7965.4
2010.01.08 02:00:00,1.034,1.03605,1.03348,1.0354,12101.7
2010.01.08 06:00:00,1.0354,1.0355,1.0327,1.0334,20786.7
2010.01.08 10:00:00,1.0334,1.0386,1.02975,1.03285,53693.64
2010.01.08 14:00:00,1.03285,1.0374,1.02965,1.0316,83890.8
2010.01.08 18:00:00,1.0318,1.03265,1.02975,1.0301,39811.89
2010.01.10 22:00:00,1.02875,1.03165,1.0266,1.0277,9510.1
2010.01.11 02:00:00,1.0277,1.0289,1.0254,1.0265,12858.4
2010.01.11 06:00:00,1.02655,1.0294,1.02545,1.0286,25859.64
