Time (UTC),Open,High,Low,Close,Volume 
2010.01.01 02:00:00,1.03518,1.0354,1.03366,1.034,40114.1
2010.01.01 06:00:00,1.03392,1.03565,1.03366,1.03512,90866.9
2010.01.01 10:00:00,1.03509,1.0356,1.03367,1.0352,84051.9
2010.01.01 14:00:00,1.03517,1.03541,1.0337,1.0352,76895.9
2010.01.01 18:00:00,1.0352,1.03544,1.03451,1.0352,20509.4
2010.01.03 22:00:00,1.0366,1.0398,1.0343,1.0393,41187.4
2010.01.04 02:00:00,1.03935,1.03935,1.0354,1.0362,25320.8
2010.01.04 06:00:00,1.0362,1.0421,1.03335,1.0335,95143.4
2010.01.04 10:00:00,1.03355,1.0353,1.03005,1.0311,120247.8
2010.01.04 14:00:00,1.03105,1.0318,1.02645,1.0293,133449.3
2010.01.04 18:00:00,1.02935,1.03055,1.02845,1.0299,36034.94
2010.01.04 22:00:00,1.02995,1.03045,1.0277,1.02845,56534
2010.01.05 02:00:00,1.0285,1.0299,1.0258,1.0267,45454.3
2010.01.05 06:00:00,1.0267,1.03155,1.0254,1.0285,99307.8
2010.01.05 10:00:00,1.0285,1.03175,1.0279,1.0303,97394.1
2010.01.05 14:00:00,1.0303,1.0337,1.03025,1.03235,91560.9
2010.01.05 18:00:00,1.03235,1.0362,1.03225,1.03365,41680.4
2010.01.05 22:00:00,1.0336,1.03565,1.03285,1.03285,35547.4
2010.01.06 02:00:00,1.0329,1.0356,1.0327,1.03445,20685.9
2010.01.06 06:00:00,1.03445,1.03815,1.03265,1.033,100653
2010.01.06 10:00:00,1.03295,1.03465,1.0311,1.032,100812.05
2010.01.06 14:00:00,1.032,1.0337,1.0272,1.0285,129795.67
2010.01.06 18:00:00,1.0285,1.03025,1.025,1.02765,50426.2
2010.01.06 22:00:00,1.02765,1.0288,1.0245,1.0264,27571.47
2010.01.07 02:00:00,1.0264,1.02925,1.0264,1.02865,28861.3
2010.01.07 06:00:00,1.02865,1.033,1.0281,1.0323,97362.7
2010.01.07 10:00:00,1.0323,1.0373,1.03205,1.03505,89303.2
2010.01.07 14:00:00,1.03505,1.0359,1.0319,1.03315,121582.6
2010.01.07 18:00:00,1.0331,1.0346,1.0328,1.03425,52917.3
2010.01.07 22:00:00,1.03425,1.03555,1.0334,1.0345,31919.06
2010.01.08 02:00:00,1.0345,1.0363,1.03366,1.0354,41822.1
2010.01.08 06:00:00,1.0354,1.03545,1.03295,1.0346,72772.2
2010.01.08 10:00:00,1.0346,1.0386,1.02625,1.02745,82155.1
2010.01.08 14:00:00,1.02735,1.03495,1.02495,1.0263,133260
2010.01.08 18:00:00,1.0264,1.02655,1.0217,1.02405,48168.7
2010.01.10 22:00:00,1.0226,1.0243,1.01805,1.0183,49918
2010.01.11 02:00:00,1.01825,1.01875,1.0134,1.01595,61340.9
2010.01.11 06:00:00,1.01595,1.02065,1.01585,1.0166,102323.63
2010.01.11 10:00:00,1.01655,1.0179,1.0151,1.016,127080.59
2010.01.11 14:00:00,1.01595,1.0185,1.01315,1.0168,114378.8
2010.01.11 18:00:00,1.01685,1.01695,1.01435,1.0167,48983.2
2010.01.11 22:00:00,1.0167,1.0182,1.0156,1.0172,32319.17
2010.01.12 02:00:00,1.0172,1.021,1.0171,1.018,34918.9
2010.01.12 06:00:00,1.018,1.0203,1.0162,1.0191,104730.8
2010.01.12 10:00:00,1.0191,1.0203,1.01635,1.01925,129337.7
2010.01.12 14:00:00,1.01925,1.0193,1.0146,1.0173,130467.67
2010.01.12 18:00:00,1.0173,1.01915,1.01715,1.0187,45991.12
2010.01.12 22:00:00,1.0188,1.0208,1.01799,1.01925,32124.6
2010.01.13 02:00:00,1.01925,1.01985,1.01805,1.01855,28892
2010.01.13 06:00:00,1.01855,1.02195,1.01645,1.01935,96560.3
2010.01.13 10:00:00,1.01935,1.02025,1.01385,1.01505,112665.23
2010.01.13 14:00:00,1.01505,1.0214,1.01505,1.01845,131841.4
2010.01.13 18:00:00,1.01845,1.0201,1.01785,1.0183,53600.14
2010.01.13 22:00:00,1.01835,1.0193,1.0166,1.01665,31910.02
2010.01.14 02:00:00,1.01665,1.01775,1.01615,1.01655,25630.05
