Time (UTC),Open,High,Low,Close,Volume 
2010.01.01 02:00:00,93.015,93.015,93.002,93.007,52698.4
2010.01.01 06:00:00,93.007,93.014,92.987,93.01,78644.1
2010.01.01 10:00:00,93.01,93.015,92.989,93.005,69647
2010.01.01 14:00:00,93.005,93.012,93.002,93.007,81656.1
2010.01.01 18:00:00,93.007,93.025,93,93.005,50833.6
2010.01.03 22:00:00,92.983,93.11,92.705,92.985,68862.6
2010.01.04 02:00:00,92.985,92.985,92.73,92.88,54101.1
2010.01.04 06:00:00,92.875,93.22,92.73,92.81,113669.64
2010.01.04 10:00:00,92.805,92.95,92.62,92.65,100891.8
2010.01.04 14:00:00,92.65,92.745,92.195,92.7,131926.19
2010.01.04 18:00:00,92.7,92.7,92.5,92.52,54756.4
2010.01.04 22:00:00,92.52,92.56,92.125,92.275,53275.3
2010.01.05 02:00:00,92.275,92.32,91.64,91.69,78206.66
2010.01.05 06:00:00,91.69,92.125,91.69,91.89,130667.7
2010.01.05 10:00:00,91.89,92.165,91.7,91.77,113545
2010.01.05 14:00:00,91.765,91.845,91.26,91.565,146878.96
2010.01.05 18:00:00,91.56,91.765,91.515,91.715,77332.3
2010.01.05 22:00:00,91.715,91.97,91.53,91.785,59720.4
2010.01.06 02:00:00,91.785,92.135,91.76,92.06,56384.8
2010.01.06 06:00:00,92.06,92.37,91.96,92.34,110701.8
2010.01.06 10:00:00,92.345,92.51,92.07,92.19,99235.2
2010.01.06 14:00:00,92.205,92.75,92.13,92.5,137161.4
2010.01.06 18:00:00,92.5,92.625,92.27,92.33,93687.3
2010.01.06 22:00:00,92.335,92.47,92.205,92.275,50324.5
2010.01.07 02:00:00,92.275,92.345,92.125,92.21,46037.26
2010.01.07 06:00:00,92.2,92.9,92.11,92.88,121424.3
2010.01.07 10:00:00,92.88,93.41,92.84,93.075,149109.3
2010.01.07 14:00:00,93.075,93.34,92.97,93.16,143379.1
2010.01.07 18:00:00,93.165,93.375,93.08,93.375,78592.87
2010.01.07 22:00:00,93.39,93.8,93.21,93.33,57179.29
2010.01.08 02:00:00,93.33,93.38,93.14,93.32,67865.6
2010.01.08 06:00:00,93.325,93.46,92.845,93.13,129584.3
2010.01.08 10:00:00,93.13,93.48,92.29,92.39,102494.42
2010.01.08 14:00:00,92.375,93.265,92.345,92.605,166615.62
2010.01.08 18:00:00,92.6,92.745,92.47,92.67,83178.38
2010.01.10 22:00:00,92.605,92.65,92.235,92.36,50669.3
2010.01.11 02:00:00,92.36,92.47,92.185,92.235,55595.33
2010.01.11 06:00:00,92.23,92.56,92.195,92.475,106128.38
2010.01.11 10:00:00,92.48,92.57,92.33,92.41,96667.9
2010.01.11 14:00:00,92.41,92.67,91.82,92.06,157742.54
2010.01.11 18:00:00,92.06,92.16,91.89,92.095,71865.2
2010.01.11 22:00:00,92.1,92.3,91.835,91.845,69143.6
2010.01.12 02:00:00,91.845,92.435,91.84,92.23,71374.7
2010.01.12 06:00:00,92.23,92.305,91.715,91.82,152315.2
2010.01.12 10:00:00,91.82,91.875,91.34,91.35,144884.28
2010.01.12 14:00:00,91.35,91.39,90.725,90.815,185273.76
2010.01.12 18:00:00,90.815,91.045,90.805,90.995,89805.1
2010.01.12 22:00:00,90.995,91.365,90.91,91.03,76750.97
2010.01.13 02:00:00,91.03,91.195,90.94,91.125,72725.9
2010.01.13 06:00:00,91.125,91.495,90.995,91.43,142710.69
2010.01.13 10:00:00,91.435,91.455,91.14,91.245,120856.7
2010.01.13 14:00:00,91.245,91.535,91.19,91.375,139936.22
2010.01.13 18:00:00,91.375,91.565,91.28,91.385,87468.4
2010.01.13 22:00:00,91.385,91.545,91.295,91.41,55123.5
2010.01.14 02:00:00,91.41,91.8,91.36,91.8,77714.8
2010.01.14 06:00:00,91.8,92.055,91.595,91.885,139994.5
2010.01.14 10:00:00,91.88,91.98,91.135,91.22,129051.1
2010.01.14 14:00:00,91.22,91.395,90.99,91.07,150404.6
2010.01.14 18:00:00,91.07,91.275,90.845,91.215,97891.5
2010.01.14 22:00:00,91.225,91.33,90.925,91.02,73214.1
2010.01.15 02:00:00,91.02,91.245,90.96,91.18,66602.6
2010.01.15 06:00:00,91.18,91.19,90.655,90.79,139044.86
2010.01.15 10:00:00,90.79,91.165,90.605,91.095,155754.6
2010.01.15 14:00:00,91.095,91.195,90.71,90.805,145222.3
2010.01.15 18:00:00,90.805,90.965,90.765,90.79,76830.9
2010.01.17 22:00:00,90.79,91.01,90.735,90.78,43680
2010.01.18 02:00:00,90.78,91.065,90.725,91.05,51068.79
2010.01.18 06:00:00,91.05,91.06,90.81,90.94,95507.77
2010.01.18 10:00:00,90.94,90.945,90.63,90.72,89092.9
2010.01.18 14:00:00,90.72,90.845,90.649,90.72,41228.8
2010.01.18 18:00:00,90.72,90.805,90.685,90.8,21383.6
2010.01.18 22:00:00,90.8,90.805,90.52,90.62,50852.2
2010.01.19 02:00:00,90.62,90.675,90.355,90.48,69576.04
2010.01.19 06:00:00,90.485,90.655,90.32,90.63,101394.95
2010.01.19 10:00:00,90.635,91.045,90.55,90.92,132164.9
2010.01.19 14:00:00,90.92,91.27,90.84,91.07,156223.8
2010.01.19 18:00:00,91.07,91.18,91.055,91.165,69133.7
2010.01.19 22:00:00,91.17,91.27,91.07,91.18,55613.4
2010.01.20 02:00:00,91.18,91.365,91.085,91.22,66501.8
2010.01.20 06:00:00,91.22,91.27,90.795,90.97,143843.24
2010.01.20 10:00:00,90.97,91.045,90.82,90.96,150478.4
2010.01.20 14:00:00,90.96,91.465,90.91,91.22,147781.83
2010.01.20 18:00:00,91.22,91.29,91.165,91.24,61516.7
2010.01.20 22:00:00,91.25,91.465,91.195,91.335,51323.6
2010.01.21 02:00:00,91.34,91.67,91.3,91.61,44744.1
2010.01.21 06:00:00,91.615,91.76,91.46,91.745,131437.3
2010.01.21 10:00:00,91.745,91.88,91.56,91.755,130046.98
2010.01.21 14:00:00,91.75,91.84,90.12,90.42,181919.5
2010.01.21 18:00:00,90.42,90.52,90.155,90.445,97340.5
2010.01.21 22:00:00,90.445,90.505,89.81,89.89,61475.9
2010.01.22 02:00:00,89.885,90.08,89.795,89.965,54807.4
2010.01.22 06:00:00,89.965,90.57,89.925,90.39,142307.8
2010.01.22 10:00:00,90.39,90.43,89.925,90.12,178742.5
2010.01.22 14:00:00,90.12,90.345,89.96,90.01,188258.26
2010.01.22 18:00:00,90.01,90.01,89.82,89.84,101866.52
2010.01.24 22:00:00,90.295,90.295,89.825,90.06,36357
2010.01.25 02:00:00,90.06,90.28,90.045,90.09,32309.7
2010.01.25 06:00:00,90.09,90.345,90,90.25,101013.5
2010.01.25 10:00:00,90.25,90.34,90.12,90.29,102127.65
2010.01.25 14:00:00,90.29,90.32,89.965,90.24,136137.4
2010.01.25 18:00:00,90.24,90.325,90.185,90.29,59704.6
2010.01.25 22:00:00,90.29,90.56,90.195,90.48,43854.8
2010.01.26 02:00:00,90.48,90.495,89.56,89.78,79870.5
2010.01.26 06:00:00,89.78,90.475,89.39,89.56,160497.54
2010.01.26 10:00:00,89.56,89.76,89.41,89.63,191270.7
2010.01.26 14:00:00,89.63,89.78,89.35,89.67,221582.2
2010.01.26 18:00:00,89.665,89.74,89.59,89.665,76595.1
2010.01.26 22:00:00,89.68,89.74,89.38,89.61,67992
2010.01.27 02:00:00,89.61,89.635,89.145,89.23,71385.6
2010.01.27 06:00:00,89.23,89.49,89.17,89.385,140048.1
2010.01.27 10:00:00,89.385,89.67,89.35,89.475,138941.2
2010.01.27 14:00:00,89.475,89.485,89.22,89.445,166367
2010.01.27 18:00:00,89.46,90.095,89.4,90.015,128606.5
2010.01.27 22:00:00,90.015,90.365,89.885,90.315,63644.96
2010.01.28 02:00:00,90.32,90.4,90.195,90.28,62854.9
2010.01.28 06:00:00,90.28,90.56,90.15,90.37,140347.2
2010.01.28 10:00:00,90.37,90.455,89.95,90.02,158774.7
2010.01.28 14:00:00,90.02,90.24,89.635,89.73,157138.5
2010.01.28 18:00:00,89.73,89.965,89.725,89.935,56208.3
2010.01.28 22:00:00,89.935,90.045,89.59,89.95,50745.5
2010.01.29 02:00:00,89.96,90.055,89.81,89.86,48980.37
2010.01.29 06:00:00,89.86,90.325,89.825,90.15,90661.02
2010.01.29 10:00:00,90.165,90.83,90.11,90.665,84449.19
2010.01.29 14:00:00,90.665,90.935,90.235,90.485,130845.19
2010.01.29 18:00:00,90.49,90.515,90.235,90.28,60363.51
2010.01.31 22:00:00,89.9,90.385,89.89,90.19,37741.5
2010.02.01 02:00:00,90.18,90.275,90,90.23,37914.9
2010.02.01 06:00:00,90.235,90.48,90.15,90.325,67711
2010.02.01 10:00:00,90.32,90.385,90.15,90.26,56298.1
2010.02.01 14:00:00,90.255,90.95,90.25,90.73,98408.5
2010.02.01 18:00:00,90.715,90.835,90.571,90.62,60436.4
2010.02.01 22:00:00,90.615,90.92,90.605,90.835,44851.9
2010.02.02 02:00:00,90.83,90.92,90.59,90.765,54040.4
2010.02.02 06:00:00,90.765,90.835,90.475,90.665,101047.4
2010.02.02 10:00:00,90.66,90.825,90.355,90.42,105588.9
2010.02.02 14:00:00,90.42,90.47,90.27,90.4,127555.85
2010.02.02 18:00:00,90.405,90.435,90.295,90.39,54908.5
2010.02.02 22:00:00,90.39,90.56,90.365,90.445,52817.7
2010.02.03 02:00:00,90.445,90.525,90.305,90.525,47198.3
2010.02.03 06:00:00,90.525,90.53,90.08,90.355,102097.7
2010.02.03 10:00:00,90.355,90.875,90.275,90.765,119209.67
2010.02.03 14:00:00,90.76,91.28,90.755,91.13,127646.9
2010.02.03 18:00:00,91.125,91.235,90.935,90.99,65258.1
2010.02.03 22:00:00,91,91.06,90.805,90.93,40213
2010.02.04 02:00:00,90.925,90.945,90.85,90.915,27152.2
2010.02.04 06:00:00,90.915,91.085,90.72,90.88,76616.1
2010.02.04 10:00:00,90.88,90.895,90.485,90.61,77769.26
2010.02.04 14:00:00,90.61,90.72,88.56,89.12,113536.64
2010.02.04 18:00:00,89.12,89.24,88.87,89.065,52342.1
2010.02.04 22:00:00,89.065,89.745,88.9,89.59,50034.2
2010.02.05 02:00:00,89.59,89.78,89.52,89.55,37704.2
2010.02.05 06:00:00,89.55,89.78,89.34,89.44,79760.6
2010.02.05 10:00:00,89.445,89.895,89.12,89.615,76065.5
2010.02.05 14:00:00,89.615,89.68,89.065,89.315,102095.9
2010.02.05 18:00:00,89.315,89.45,88.83,89.285,72876.3
2010.02.07 22:00:00,89.54,89.54,89.155,89.28,38340.9
2010.02.08 02:00:00,89.28,89.41,89.215,89.385,38543.2
2010.02.08 06:00:00,89.385,89.57,89.245,89.4,89590.51
2010.02.08 10:00:00,89.4,89.54,89.17,89.36,84864.95
2010.02.08 14:00:00,89.36,89.425,89.15,89.355,91689.67
2010.02.08 18:00:00,89.35,89.38,89.23,89.255,45611.5
2010.02.08 22:00:00,89.26,89.415,89.17,89.33,42708.36
2010.02.09 02:00:00,89.33,89.5,89.33,89.435,47105.21
2010.02.09 06:00:00,89.435,89.74,89.395,89.705,83496.59
2010.02.09 10:00:00,89.705,89.81,89.53,89.61,94188.08
2010.02.09 14:00:00,89.61,89.76,89.33,89.54,121648.1
2010.02.09 18:00:00,89.535,89.745,89.47,89.705,50949
2010.02.09 22:00:00,89.71,90.025,89.7,89.795,75514.39
2010.02.10 02:00:00,89.795,89.84,89.535,89.645,67427.13
2010.02.10 06:00:00,89.645,89.82,89.57,89.705,70774.1
2010.02.10 10:00:00,89.7,89.76,89.25,89.44,74382.2
2010.02.10 14:00:00,89.44,90.05,89.42,89.98,76888.96
2010.02.10 18:00:00,89.98,90.075,89.875,89.955,47469.2
2010.02.10 22:00:00,89.96,90.145,89.915,90.04,19876.27
2010.02.11 02:00:00,90.035,90.06,89.825,89.91,27357.3
2010.02.11 06:00:00,89.91,90.045,89.85,89.91,70369.2
2010.02.11 10:00:00,89.91,89.915,89.575,89.76,93640.3
2010.02.11 14:00:00,89.76,89.89,89.665,89.8,116728.6
2010.02.11 18:00:00,89.795,89.83,89.66,89.775,51766.1
2010.02.11 22:00:00,89.775,89.85,89.6,89.71,52970.3
2010.02.12 02:00:00,89.715,89.755,89.595,89.75,40602.4
2010.02.12 06:00:00,89.75,90.355,89.715,89.935,67627.4
2010.02.12 10:00:00,89.93,90.425,89.615,90.265,77725.7
2010.02.12 14:00:00,90.26,90.295,89.855,89.945,89632.2
2010.02.12 18:00:00,89.95,90.065,89.915,89.985,32912.1
2010.02.14 22:00:00,90.145,90.22,89.99,90.17,25001.45
2010.02.15 02:00:00,90.17,90.24,90.125,90.13,27446.8
2010.02.15 06:00:00,90.135,90.205,89.95,89.98,60570.75
2010.02.15 10:00:00,89.98,90.065,89.92,90.005,57836.2
2010.02.15 14:00:00,90,90.05,89.927,89.98,44269.5
2010.02.15 18:00:00,89.98,90.03,89.935,90.025,14644.9
2010.02.15 22:00:00,90.025,90.08,89.97,90.025,19761.7
2010.02.16 02:00:00,90.025,90.035,89.72,89.82,30833.7
2010.02.16 06:00:00,89.82,90.03,89.76,89.975,67096.4
2010.02.16 10:00:00,89.975,90.055,89.83,90.01,80622.4
2010.02.16 14:00:00,90.01,90.52,90.005,90.24,117943.2
2010.02.16 18:00:00,90.24,90.24,90.04,90.145,63375.7
2010.02.16 22:00:00,90.155,90.32,90.138,90.265,45041.6
2010.02.17 02:00:00,90.265,90.38,90.26,90.3,29553.6
2010.02.17 06:00:00,90.31,90.65,90.16,90.625,104770.1
2010.02.17 10:00:00,90.63,91.035,90.52,90.94,102772.9
2010.02.17 14:00:00,90.94,91.17,90.685,90.81,106075.5
2010.02.17 18:00:00,90.81,91.39,90.8,91.27,64089
2010.02.17 22:00:00,91.265,91.295,91.015,91.025,53927.1
2010.02.18 02:00:00,91.025,91.09,90.87,90.92,52285.1
2010.02.18 06:00:00,90.92,91.06,90.74,90.8,91955.1
2010.02.18 10:00:00,90.8,90.97,90.575,90.69,87631.22
2010.02.18 14:00:00,90.69,91.49,90.63,91.29,120070.53
2010.02.18 18:00:00,91.29,91.835,91.2,91.825,63325.9
2010.02.18 22:00:00,91.825,92.105,91.735,91.905,49184.81
2010.02.19 02:00:00,91.905,91.96,91.685,91.85,66368
2010.02.19 06:00:00,91.85,92.055,91.695,91.795,96854.4
2010.02.19 10:00:00,91.8,91.99,91.62,91.82,78171.2
